driver_number,avg_qual_pos,avg_pit_count,avg_pit_time,avg_stint_count,total_races,total_wins,team_encoded,full_name
1,0.0,1.7428571428571429,81.78871428571429,2.8857142857142857,70,36,11,Max VERSTAPPEN
2,0.0,1.5833333333333333,89.53912037037037,3.0,36,0,12,Logan SARGEANT
3,0.0,1.68,158.44933333333336,2.72,25,0,1,Daniel RICCIARDO
4,0.0,1.6857142857142857,88.52840476190477,2.914285714285714,70,11,7,Lando NORRIS
5,0.0,1.6666666666666667,22.062986111111112,2.75,24,0,6,Gabriel BORTOLETO
6,0.0,1.5416666666666667,22.175347222222225,2.5416666666666665,24,0,10,Isack HADJAR
7,0.0,1.0,15.308333333333332,2.0,6,0,2,Jack DOOHAN
10,0.0,1.5571428571428572,102.27866666666667,2.742857142857143,70,0,2,Pierre GASLY
11,0.0,1.7826086956521738,75.82083333333333,3.108695652173913,46,2,11,Sergio PEREZ
12,0.0,1.7916666666666667,22.441805555555558,2.7916666666666665,24,0,8,Andrea Kimi ANTONELLI
14,0.0,1.7,93.24807142857142,2.857142857142857,70,0,3,Fernando ALONSO
16,0.0,1.5857142857142856,83.94485714285715,2.7,70,3,4,Charles LECLERC
18,0.0,1.7941176470588236,57.65034663865546,2.9558823529411766,68,0,3,Lance STROLL
20,0.0,1.7045454545454546,46.43787878787878,2.909090909090909,44,0,5,Kevin MAGNUSSEN
21,0.0,0.9,9.456666666666667,2.8,10,0,1,Nyck DE VRIES
22,0.0,1.7,91.8067380952381,2.8857142857142857,70,0,1,Yuki TSUNODA
23,0.0,1.6,72.20928571428573,2.7142857142857144,70,0,12,Alexander ALBON
24,0.0,1.8478260869565217,89.31702898550726,3.152173913043478,46,0,0,ZHOU Guanyu
27,0.0,1.7571428571428571,48.827333333333335,2.9285714285714284,70,0,5,Nico HULKENBERG
30,0.0,1.6333333333333333,46.79222222222222,2.7333333333333334,30,0,9,Liam LAWSON
31,0.0,1.565217391304348,75.03869565217391,2.753623188405797,69,0,2,Esteban OCON
38,0.0,1.0,22.4,2.0,1,0,4,Oliver BEARMAN
40,0.0,3.0,94.81761904761905,4.0,5,0,1,Liam LAWSON
43,0.0,1.5555555555555556,22.168518518518518,2.5925925925925926,27,0,12,Franco COLAPINTO
44,0.0,1.7428571428571429,75.23978571428572,2.9,70,2,8,Lewis HAMILTON
50,0.0,1.5,375.70000000000005,2.5,2,0,5,Oliver BEARMAN
55,0.0,1.565217391304348,92.20367149758454,2.7246376811594204,69,3,4,Carlos SAINZ
61,0.0,1.0,22.0,2.0,1,0,2,Jack DOOHAN
63,0.0,1.7714285714285714,91.93172108843537,2.914285714285714,70,4,8,George RUSSELL
77,0.0,1.5869565217391304,124.31456521739129,2.9347826086956523,46,0,0,Valtteri BOTTAS
81,0.0,1.6857142857142857,92.61959523809524,2.8285714285714287,70,9,7,Oscar PIASTRI
87,0.0,1.7083333333333333,23.99236111111111,2.7916666666666665,24,0,5,Oliver BEARMAN
