date,session_key,meeting_key,driver_number,pit_duration,lap_number
2023-06-04T13:05:22.607000+00:00,9102,1211,4,37.7,1.0
2023-06-04T13:10:42.773000+00:00,9102,1211,77,23.6,5.0
2023-06-04T13:14:44.785000+00:00,9102,1211,27,22.2,8.0
2023-06-04T13:16:02.690000+00:00,9102,1211,24,23.4,9.0
2023-06-04T13:16:07.674000+00:00,9102,1211,21,22.5,9.0
2023-06-04T13:17:23.938000+00:00,9102,1211,22,22.1,10.0
2023-06-04T13:17:29.391000+00:00,9102,1211,20,22.1,10.0
2023-06-04T13:21:24.402000+00:00,9102,1211,31,22.1,13.0
2023-06-04T13:22:41.917000+00:00,9102,1211,18,22.3,14.0
2023-06-04T13:23:56.212000+00:00,9102,1211,55,22.3,15.0
2023-06-04T13:25:39.726000+00:00,9102,1211,16,21.7,16.0
2023-06-04T13:25:48.070000+00:00,9102,1211,23,23.3,16.0
2023-06-04T13:26:55.740000+00:00,9102,1211,81,22.3,17.0
2023-06-04T13:27:13.177000+00:00,9102,1211,2,22.5,17.0
2023-06-04T13:29:32.284000+00:00,9102,1211,14,22.5,19.0
2023-06-04T13:29:42.394000+00:00,9102,1211,10,23.3,19.0
2023-06-04T13:34:13.936000+00:00,9102,1211,4,22.8,22.0
2023-06-04T13:36:00.934000+00:00,9102,1211,44,22.5,24.0
2023-06-04T13:36:51.636000+00:00,9102,1211,20,24.8,24.0
2023-06-04T13:37:30.510000+00:00,9102,1211,63,22.2,25.0
2023-06-04T13:38:29.056000+00:00,9102,1211,1,22.2,26.0
2023-06-04T13:39:27.836000+00:00,9102,1211,27,23.2,26.0
2023-06-04T13:40:19.241000+00:00,9102,1211,11,21.7,27.0
2023-06-04T13:49:58.247000+00:00,9102,1211,18,23.3,34.0
2023-06-04T13:50:01.059000+00:00,9102,1211,22,22.0,34.0
2023-06-04T13:51:21.730000+00:00,9102,1211,31,24.1,35.0
2023-06-04T13:52:48.775000+00:00,9102,1211,24,22.8,36.0
2023-06-04T13:53:18.056000+00:00,9102,1211,2,23.8,36.0
2023-06-04T13:54:36.804000+00:00,9102,1211,23,23.4,37.0
2023-06-04T13:55:39.834000+00:00,9102,1211,21,21.9,38.0
2023-06-04T13:56:52.146000+00:00,9102,1211,81,22.8,39.0
2023-06-04T13:56:54.067000+00:00,9102,1211,10,23.6,39.0
2023-06-04T13:57:22.504000+00:00,9102,1211,77,24.0,39.0
2023-06-04T13:59:09.768000+00:00,9102,1211,55,22.3,41.0
2023-06-04T13:59:36.752000+00:00,9102,1211,16,23.0,41.0
2023-06-04T14:01:22.406000+00:00,9102,1211,20,22.2,42.0
2023-06-04T14:02:29.968000+00:00,9102,1211,27,24.4,43.0
2023-06-04T14:03:24.420000+00:00,9102,1211,14,22.8,44.0
2023-06-04T14:04:20.497000+00:00,9102,1211,63,22.0,45.0
2023-06-04T14:10:45.927000+00:00,9102,1211,44,22.7,50.0
2023-06-04T14:11:04.287000+00:00,9102,1211,11,21.5,50.0
2023-06-04T14:12:02.129000+00:00,9102,1211,4,22.0,50.0
2023-06-04T14:13:07.441000+00:00,9102,1211,1,22.3,52.0
2023-06-18T18:04:56.528000+00:00,9110,1212,22,23.6,1.0
2023-06-18T18:17:04.109000+00:00,9110,1212,10,27.5,10.0
2023-06-18T18:18:16.186000+00:00,9110,1212,27,24.8,11.0
2023-06-18T18:18:17.999000+00:00,9110,1212,18,23.7,11.0
2023-06-18T18:18:21.467000+00:00,9110,1212,21,24.9,11.0
2023-06-18T18:19:13.935000+00:00,9110,1212,1,23.6,12.0
2023-06-18T18:19:24.482000+00:00,9110,1212,44,24.3,12.0
2023-06-18T18:19:25.014000+00:00,9110,1212,14,24.0,12.0
2023-06-18T18:19:37.606000+00:00,9110,1212,31,24.4,12.0
2023-06-18T18:19:41.653000+00:00,9110,1212,81,24.8,12.0
2023-06-18T18:19:50.356000+00:00,9110,1212,4,25.8,12.0
2023-06-18T18:19:50.684000+00:00,9110,1212,23,25.0,12.0
2023-06-18T18:19:55.606000+00:00,9110,1212,24,24.1,12.0
2023-06-18T18:21:25.245000+00:00,9110,1212,63,88.9,12.0
2023-06-18T18:42:47.254000+00:00,9110,1212,18,23.8,27.0
2023-06-18T18:48:01.826000+00:00,9110,1212,27,24.2,31.0
2023-06-18T18:49:22.997000+00:00,9110,1212,24,27.5,32.0
2023-06-18T18:50:39.183000+00:00,9110,1212,10,24.1,33.0
2023-06-18T18:51:59.213000+00:00,9110,1212,22,27.5,34.0
2023-06-18T18:53:06.212000+00:00,9110,1212,4,23.5,35.0
2023-06-18T18:53:59.883000+00:00,9110,1212,20,24.9,35.0
2023-06-18T18:54:20.679000+00:00,9110,1212,31,23.6,36.0
2023-06-18T18:54:23.367000+00:00,9110,1212,77,24.0,36.0
2023-06-18T18:55:29.865000+00:00,9110,1212,11,23.2,37.0
2023-06-18T18:55:45.818000+00:00,9110,1212,81,23.4,37.0
2023-06-18T18:56:41.458000+00:00,9110,1212,55,24.1,38.0
2023-06-18T18:57:57.238000+00:00,9110,1212,16,24.3,39.0
2023-06-18T18:59:10.596000+00:00,9110,1212,44,23.7,40.0
2023-06-18T19:00:23.204000+00:00,9110,1212,14,23.9,41.0
2023-06-18T19:01:35+00:00,9110,1212,1,23.9,42.0
2023-06-18T19:13:54.658000+00:00,9110,1212,21,23.7,50.0
2023-06-18T19:17:43.092000+00:00,9110,1212,20,24.5,53.0
2023-06-18T19:35:21.042000+00:00,9110,1212,11,23.2,68.0
2023-07-02T13:04:43.005000+00:00,9118,1213,20,26.5,1.0
2023-07-02T13:05:01.224000+00:00,9118,1213,22,29.6,1.0
2023-07-02T13:06:14.582000+00:00,9118,1213,1,16.3,2.0
2023-07-02T13:06:16.238000+00:00,9118,1213,16,16.3,2.0
2023-07-02T13:06:17.863000+00:00,9118,1213,55,16.3,2.0
2023-07-02T13:06:20.738000+00:00,9118,1213,44,16.4,2.0
2023-07-02T13:06:23.691000+00:00,9118,1213,4,18.0,2.0
2023-07-02T13:06:25.347000+00:00,9118,1213,14,16.6,2.0
2023-07-02T13:06:26.707000+00:00,9118,1213,27,16.7,2.0
2023-07-02T13:06:28.160000+00:00,9118,1213,18,16.6,2.0
2023-07-02T13:06:29.488000+00:00,9118,1213,10,16.3,2.0
2023-07-02T13:06:31.050000+00:00,9118,1213,23,16.7,2.0
2023-07-02T13:06:36.097000+00:00,9118,1213,63,17.9,2.0
2023-07-02T13:06:37.675000+00:00,9118,1213,31,18.1,2.0
2023-07-02T13:06:38.706000+00:00,9118,1213,11,17.4,2.0
2023-07-02T13:06:40.534000+00:00,9118,1213,24,17.4,2.0
2023-07-02T13:06:41.269000+00:00,9118,1213,81,17.3,2.0
2023-07-02T13:06:42.800000+00:00,9118,1213,2,17.3,2.0
2023-07-02T13:06:44.597000+00:00,9118,1213,77,17.1,2.0
2023-07-02T13:06:45.707000+00:00,9118,1213,21,17.0,2.0
2023-07-02T13:06:50.097000+00:00,9118,1213,22,16.2,2.0
2023-07-02T13:06:57.519000+00:00,9118,1213,20,25.6,2.0
2023-07-02T13:14:34.839000+00:00,9118,1213,24,24.3,8.0
2023-07-02T13:18:03.819000+00:00,9118,1213,27,21.8,11.0
2023-07-02T13:19:23.521000+00:00,9118,1213,21,21.3,12.0
2023-07-02T13:21:33.050000+00:00,9118,1213,44,21.9,14.0
2023-07-02T13:21:34.425000+00:00,9118,1213,4,21.2,14.0
2023-07-02T13:21:42.472000+00:00,9118,1213,10,21.8,14.0
2023-07-02T13:21:44.846000+00:00,9118,1213,23,21.5,14.0
2023-07-02T13:21:46.206000+00:00,9118,1213,63,22.2,14.0
2023-07-02T13:21:49.221000+00:00,9118,1213,31,22.0,14.0
2023-07-02T13:21:50.378000+00:00,9118,1213,81,22.4,14.0
2023-07-02T13:21:55.831000+00:00,9118,1213,2,23.1,14.0
2023-07-02T13:23:00.314000+00:00,9118,1213,16,23.4,15.0
2023-07-02T13:23:08.314000+00:00,9118,1213,55,26.2,15.0
2023-07-02T13:23:11.501000+00:00,9118,1213,14,22.3,15.0
2023-07-02T13:23:19.298000+00:00,9118,1213,18,24.3,15.0
2023-07-02T13:30:59.930000+00:00,9118,1213,77,31.7,21.0
2023-07-02T13:32:10.351000+00:00,9118,1213,81,29.9,22.0
